Название;Цена;Длительность;Описание
Консультация терапевта;2800;30;Первичный приём врача-терапевта: осмотр, сбор жалоб, рекомендации
Повторный приём терапевта;2500;20;Повторная консультация терапевта по ранее начатому лечению
Консультация педиатра;2800;30;Приём детского врача: осмотр ребёнка, рекомендации родителям
Посещение врача на дому;3000;30;Выезд врача к пациенту на дом в пределах района обслуживания
УЗИ при беременности;3200;25;Ультразвуковое исследование плода в разные сроки беременности
УЗИ по гинекологии;3000;25;Ультразвуковое исследование органов малого таза у женщин
УЗИ брюшной полости;5000;25;Исследование печени, желчного пузыря, поджелудочной, селезёнки (ориентир — заменить на прайс клиники)
Рентген позвоночника (2 проекции);4500;15;Рентгенография позвоночника в двух проекциях
ЭКГ;3000;15;Электрокардиограмма — оценка работы сердца (ориентир — заменить на прайс клиники)
Общий анализ крови (ОАК);2000;10;Лабораторное исследование основных показателей крови (ориентир — заменить на прайс клиники)
Ведение беременности (12-40 нед);90000;30;Комплексное наблюдение беременности с 12 по 40 неделю
Общий массаж (взрослые);2200;30;Общий лечебно-оздоровительный массаж для взрослых
Лечение пульпита моляра;8000;60;Стоматологическое лечение пульпита жевательного зуба
Удаление ретинированного зуба;9000;60;Хирургическое удаление непрорезавшегося (ретинированного) зуба
Реставрация фронтального зуба;10500;60;Художественная реставрация переднего зуба
Циркумцизия;7600;60;Операция обрезания крайней плоти
Удаление гигромы;6000;60;Хирургическое удаление гигромы (кистозного образования)
Диатермокоагуляция шейки матки;4000;20;Прижигание патологического участка шейки матки током
Консультация гинеколога;3500;30;Первичный приём врача акушера-гинеколога (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;4000;25;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
УЗИ молочных желёз;3500;25;Ультразвуковое исследование молочных желёз (ориентир — заменить на прайс клиники)
Общий анализ мочи (ОАМ);1500;10;Лабораторное исследование мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;9000;10;Комплекс биохимических показателей крови (ориентир — заменить на прайс клиники)
Удаление зуба (простое);4000;40;Простое удаление зуба (ориентир — заменить на прайс клиники)
Профессиональная чистка зубов;7000;40;Снятие зубного налёта и камня (ориентир — заменить на прайс клиники)
Массаж воротниковой зоны;1800;20;Лечебный массаж шейно-воротниковой зоны (ориентир — заменить на прайс клиники)
Медицинская справка;1500;15;Оформление медицинской справки установленного образца (ориентир — заменить на прайс клиники)
