Название;Цена;Длительность;Описание
Платный приём терапевта;5000;20;Консультация терапевта на платной основе (ориентир — заменить на прайс клиента)
Платный приём врача общей практики (ВОП);5000;20;Консультация семейного врача платно (ориентир — заменить на прайс клиента)
Платный приём педиатра;5000;20;Осмотр ребёнка платно (ориентир — заменить на прайс клиента)
Платный приём гинеколога;6000;25;Консультация и осмотр платно (ориентир — заменить на прайс клиента)
Платный приём невролога;6000;25;Консультация невролога платно (ориентир — заменить на прайс клиента)
Платный приём ЛОР-врача;6000;25;Консультация оториноларинголога платно (ориентир — заменить на прайс клиента)
УЗИ органов брюшной полости;6000;20;Комплексное УЗИ (ориентир — заменить на прайс клиента)
УЗИ малого таза;6000;20;УЗИ гинекологическое/урологическое (ориентир — заменить на прайс клиента)
УЗИ щитовидной железы;4500;15;УЗИ с описанием (ориентир — заменить на прайс клиента)
ЭКГ с расшифровкой;3500;15;Электрокардиограмма и заключение (ориентир — заменить на прайс клиента)
Общий анализ крови (ОАК);2500;10;Забор и лабораторный анализ (ориентир — заменить на прайс клиента)
Общий анализ мочи (ОАМ);2000;10;Лабораторный анализ (ориентир — заменить на прайс клиента)
Биохимический анализ крови (базовый профиль);6000;10;Комплекс биохимических показателей (ориентир — заменить на прайс клиента)
Медицинская справка (форма 075/086);3000;20;Оформление справки после осмотра (ориентир — заменить на прайс клиента)
Справка для бассейна/спортзала;2000;15;Осмотр и выдача справки (ориентир — заменить на прайс клиента)
Вызов врача на дом (в черте города);8000;40;Осмотр пациента на дому (ориентир — заменить на прайс клиента)
Физиопроцедура (1 сеанс);2000;30;Физиотерапевтическая процедура по назначению (ориентир — заменить на прайс клиента)
Внутримышечная инъекция;1000;10;Одна инъекция по назначению (ориентир — заменить на прайс клиента)
Внутривенная капельница (инфузия);4000;60;Постановка капельницы по назначению врача (ориентир — заменить на прайс клиента)
Вакцинация (без стоимости вакцины);2000;15;Постановка прививки, стоимость вакцины отдельно (ориентир — заменить на прайс клиента)
Комплексный профосмотр (базовый чек-ап);15000;90;Осмотр врачей и базовые анализы (ориентир — заменить на прайс клиента)
