Название;Цена;Длительность;Описание
Консультация хирурга;5000;30;Приём врача-хирурга (ориентир — заменить на прайс клиники)
Консультация кардиолога;6000;30;Приём врача-кардиолога (ориентир — заменить на прайс клиники)
Консультация невролога;5000;30;Приём врача-невролога (ориентир — заменить на прайс клиники)
Консультация уролога;6000;30;Приём врача-уролога (ориентир — заменить на прайс клиники)
Консультация эндокринолога;6000;30;Приём врача-эндокринолога (ориентир — заменить на прайс клиники)
Консультация нефролога;7000;30;Приём врача-нефролога (ориентир — заменить на прайс клиники)
Консультация нейрохирурга;8000;30;Приём врача-нейрохирурга (ориентир — заменить на прайс клиники)
Консультация травматолога-ортопеда;5000;30;Приём врача-травматолога (ориентир — заменить на прайс клиники)
Консультация гематолога;7000;30;Приём врача-гематолога (ориентир — заменить на прайс клиники)
Консультация врача высшей категории / профессора;12000;30;Приём высококвалифицированного специалиста (ориентир — заменить на прайс клиники)
Сеанс гемодиализа;30000;240;Процедура очищения крови при заболеваниях почек (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;5000;25;Ультразвуковое исследование органов брюшной полости (ориентир — заменить на прайс клиники)
УЗИ почек и мочевого пузыря;4500;25;Ультразвуковое исследование мочевыделительной системы (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;4000;20;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
ЭхоКГ (УЗИ сердца);6500;30;Ультразвуковое исследование сердца (ориентир — заменить на прайс клиники)
ЭКГ (электрокардиография);2000;20;Регистрация электрической активности сердца (ориентир — заменить на прайс клиники)
Суточное мониторирование ЭКГ (Холтер);7000;30;Круглосуточная запись работы сердца (ориентир — заменить на прайс клиники)
Компьютерная томография (КТ), одна область;15000;30;КТ-исследование одной анатомической области (ориентир — заменить на прайс клиники)
Магнитно-резонансная томография (МРТ), одна область;22000;40;МРТ-исследование одной анатомической области (ориентир — заменить на прайс клиники)
Рентгенография (один снимок);3000;15;Рентгеновский снимок одной области (ориентир — заменить на прайс клиники)
Общий анализ крови;2000;10;Клинический анализ крови (ориентир — заменить на прайс клиники)
Биохимический анализ крови;10000;10;Комплекс биохимических показателей крови (ориентир — заменить на прайс клиники)
Общий анализ мочи;1500;10;Лабораторное исследование мочи (ориентир — заменить на прайс клиники)
Коагулограмма;5000;10;Исследование свёртываемости крови (ориентир — заменить на прайс клиники)
Гастроскопия (ФГДС);9000;30;Эндоскопическое исследование желудка (ориентир — заменить на прайс клиники)
Колоноскопия;14000;40;Эндоскопическое исследование толстого кишечника (ориентир — заменить на прайс клиники)
Перевязка послеоперационная;2500;20;Обработка и перевязка раны (ориентир — заменить на прайс клиники)
Внутривенная инфузия (капельница);3000;60;Внутривенное капельное введение препаратов (ориентир — заменить на прайс клиники)
Платная палата повышенной комфортности (сутки);15000;20;Пребывание в палате повышенной комфортности за сутки (ориентир — заменить на прайс клиники)
Комплексное предоперационное обследование;25000;60;Пакет анализов и исследований перед операцией (ориентир — заменить на прайс клиники)
