Название;Цена;Длительность;Описание
Консультация педиатра;9000;25;Приём детского врача (ориентир — непроверено, заменить на прайс клиники)
Комплексный чек-ап ребёнка;24000;60;Комплексное обследование ребёнка (ориентир 21500-26500 — непроверено, заменить на прайс клиники)
Консультация терапевта;4000;20;Приём врача-терапевта (ориентир — заменить на прайс клиники)
Консультация врача общей практики (ВОП);3500;20;Первичный приём врача общей практики (ориентир — заменить на прайс клиники)
Консультация гинеколога;4500;25;Приём акушера-гинеколога (ориентир — заменить на прайс клиники)
Консультация невролога;5000;25;Приём врача-невролога (ориентир — заменить на прайс клиники)
Консультация эндокринолога;5000;25;Приём врача-эндокринолога (ориентир — заменить на прайс клиники)
Консультация кардиолога;5000;25;Приём врача-кардиолога (ориентир — заменить на прайс клиники)
Консультация оториноларинголога (ЛОР);4500;25;Приём ЛОР-врача (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;5000;20;Ультразвуковое исследование брюшной полости (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;3500;15;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
УЗИ органов малого таза;4500;20;Ультразвуковое исследование малого таза (ориентир — заменить на прайс клиники)
УЗИ сердца (ЭхоКГ);5500;25;Эхокардиография (ориентир — заменить на прайс клиники)
ЭКГ;2000;15;Электрокардиография (ориентир — заменить на прайс клиники)
Флюорография;1500;10;Флюорографическое исследование (ориентир — заменить на прайс клиники)
Рентген грудной клетки;3000;15;Рентгенография грудной клетки (ориентир — заменить на прайс клиники)
Общий анализ крови;1500;10;Общий анализ крови (ориентир — заменить на прайс клиники)
Общий анализ мочи;1200;10;Общий анализ мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;8000;10;Биохимия крови (ориентир — заменить на прайс клиники)
Забор крови из вены;600;10;Взятие крови из вены (ориентир — заменить на прайс клиники)
Медицинская справка (форма 086/у);3500;20;Оформление медсправки 086/у (ориентир — заменить на прайс клиники)
Справка для бассейна;1800;15;Справка о состоянии здоровья для бассейна (ориентир — заменить на прайс клиники)
Вызов врача на дом;6000;40;Выезд врача на дом (ориентир — заменить на прайс клиники)
Профилактический осмотр (чек-ап взрослый);10000;40;Комплексный профосмотр взрослого (ориентир — заменить на прайс клиники)
Массаж лечебный (1 зона);3000;30;Лечебный массаж одной зоны (ориентир — заменить на прайс клиники)
