Название;Цена;Длительность;Описание
Консультация врача общей практики (ВОП);2500;20;Первичный приём врача общей практики
Консультация педиатра;2500;20;Осмотр и консультация детского врача
Консультация гинеколога;3000;25;Приём врача акушера-гинеколога женской консультации
Консультация невролога;4000;25;Приём врача-невролога (ориентир — заменить на прайс клиники)
Консультация эндокринолога;4500;25;Приём врача-эндокринолога (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;3000;20;Ультразвуковое исследование органов брюшной полости
УЗИ щитовидной железы;2000;15;Ультразвуковое исследование щитовидной железы
УЗИ сердца (ЭхоКГ);4000;25;Эхокардиография сердца
УЗИ органов малого таза;3500;20;Ультразвуковое исследование органов малого таза (ориентир — заменить на прайс клиники)
ЭКГ;1000;15;Электрокардиография
Флюорография (1 проекция);1000;10;Флюорографическое исследование, 1 проекция
Рентген грудной клетки;2500;15;Рентгенография органов грудной клетки
Общий анализ крови;800;10;Развёрнутый общий анализ крови
Общий анализ мочи;700;10;Общий клинический анализ мочи
Сахар крови (глюкоза);700;10;Определение уровня глюкозы в крови
Группа крови и резус-фактор;1100;10;Определение группы крови и резус-принадлежности
Забор крови из вены;400;10;Взятие крови из вены для исследований
Биохимический анализ крови;7000;10;Биохимическое исследование крови (ориентир — заменить на прайс клиники)
Амплипульстерапия (физиопроцедура);700;20;Физиотерапевтическая процедура амплипульстерапии
Электрофорез (физиопроцедура);700;20;Физиотерапевтическая процедура электрофореза (ориентир — заменить на прайс клиники)
Справка для бассейна;1500;15;Оформление справки о состоянии здоровья для посещения бассейна (ориентир — заменить на прайс клиники)
Медицинская справка (форма 086/у);3000;20;Оформление медицинской справки формы 086/у (ориентир — заменить на прайс клиники)
Профилактический осмотр (чек-ап взрослый);8000;40;Комплексный профилактический осмотр взрослого (ориентир — заменить на прайс клиники)
