Название;Цена;Длительность;Описание
Приём терапевта (платно);4000;25;Консультация врача-терапевта в платном отделении с осмотром и рекомендациями (ориентир — заменить на прайс клиники)
Приём врача общей практики (ВОП);4000;25;Консультация ВОП, первичный осмотр и назначения (ориентир — заменить на прайс клиники)
Приём педиатра (платно);4000;25;Консультация детского врача с осмотром ребёнка (ориентир — заменить на прайс клиники)
Повторный приём терапевта;3000;20;Контрольный визит к терапевту после первичной консультации (ориентир — заменить на прайс клиники)
УЗИ органов малого таза;5000;25;Ультразвуковое исследование органов малого таза (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;6000;30;Комплексное УЗИ печени, желчного пузыря, поджелудочной, селезёнки (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;4500;20;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
УЗИ молочных желёз;5000;25;Ультразвуковое исследование молочных желёз (ориентир — заменить на прайс клиники)
УЗИ почек;4500;25;Ультразвуковое исследование почек и мочевыводящих путей (ориентир — заменить на прайс клиники)
ЭКГ (электрокардиография);2500;15;Регистрация электрокардиограммы с расшифровкой (ориентир — заменить на прайс клиники)
Общий анализ крови (ОАК);1500;10;Развёрнутый общий анализ крови из пальца или вены (ориентир — заменить на прайс клиники)
Общий анализ мочи (ОАМ);1200;10;Лабораторное исследование общего анализа мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;9000;10;Комплексная биохимия крови по основным показателям (ориентир — заменить на прайс клиники)
Анализ крови на глюкозу;1500;10;Определение уровня глюкозы в крови (ориентир — заменить на прайс клиники)
Анализ на холестерин (липидный профиль);4000;10;Определение показателей липидного обмена (ориентир — заменить на прайс клиники)
Анализ крови на гормоны щитовидной железы;7000;10;Исследование уровня тиреоидных гормонов (ориентир — заменить на прайс клиники)
Забор крови из вены;800;10;Процедура венепункции для лабораторных исследований (ориентир — заменить на прайс клиники)
Физиопроцедура (1 сеанс);800;25;Сеанс физиотерапевтического лечения по назначению врача (ориентир — заменить на прайс клиники)
Электрофорез (1 сеанс);900;25;Физиопроцедура электрофореза с лекарственным препаратом (ориентир — заменить на прайс клиники)
Ингаляция (1 сеанс);700;20;Ингаляционная процедура по назначению врача (ориентир — заменить на прайс клиники)
Массаж (1 зона, 1 сеанс);2500;30;Лечебный массаж одной зоны по назначению врача (ориентир — заменить на прайс клиники)
Вызов врача на дом;5000;30;Выезд врача на дом для осмотра пациента в пределах района (ориентир — заменить на прайс клиники)
Медицинская справка (общая);1500;15;Оформление медицинской справки по установленной форме (ориентир — заменить на прайс клиники)
Справка для бассейна/спортзала;1500;15;Осмотр и оформление справки для посещения бассейна или спортзала (ориентир — заменить на прайс клиники)
Справка на водительское удостоверение;3000;30;Медицинское освидетельствование для получения справки (ориентир — заменить на прайс клиники)
Больничный лист (открытие/продление);2500;20;Оформление листа временной нетрудоспособности при наличии показаний (ориентир — заменить на прайс клиники)
Внутримышечная инъекция;600;15;Выполнение внутримышечной инъекции назначенного препарата (ориентир — заменить на прайс клиники)
Внутривенная инъекция/капельница;1500;30;Постановка капельницы или внутривенное введение препарата (ориентир — заменить на прайс клиники)
Измерение артериального давления;500;10;Контрольное измерение артериального давления (ориентир — заменить на прайс клиники)
Перевязка;1000;20;Обработка раны и наложение перевязки (ориентир — заменить на прайс клиники)
